"wbcode","year","dem","gdppc","ln_gdppc","trade"
"AFG",2000,0,308.318269746638,5.73113259277511,NA
"AFG",2001,0,277.118051443941,5.62444359389706,NA
"AFG",2002,0,338.139973643387,5.82345993296296,NA
"AFG",2003,0,346.071627096223,5.8466457683621,NA
"AFG",2004,0,338.637273888197,5.82492954600367,NA
"AFG",2005,0,363.640141436773,5.89616475620082,NA
"AFG",2006,0,367.75831169358,5.90742596070426,NA
"AFG",2007,0,410.757728879097,6.01800357324454,NA
"AFG",2008,0,417.647282647498,6.03463725488959,NA
"AFG",2009,0,488.830652491949,6.19201611557196,NA
"AFG",2010,0,542.871030476037,6.2968717787878,NA
"AGO",1980,0,3186.7395967321,8.06675360311925,NA
"AGO",1981,0,2937.55129349615,7.98533161991567,NA
"AGO",1982,0,2831.46994192125,7.94855126989492,NA
"AGO",1983,0,2842.76539931284,7.95253258953803,NA
"AGO",1984,0,2903.70027040203,7.97374115794642,NA
"AGO",1985,0,2896.78303600758,7.97135610231981,NA
"AGO",1986,0,2874.86018427609,7.96375932049276,NA
"AGO",1987,0,2890.07547573739,7.96903789693756,NA
"AGO",1988,0,2964.572344914,7.99448806659869,NA
"AGO",1989,0,2866.24611384236,7.96075847833774,NA
"AGO",1990,0,2675.05239370666,7.89172424557069,NA
"AGO",1991,0,2612.33170523819,7.86799847515049,NA
"AGO",1992,0,2380.58274213388,7.77510058633082,NA
"AGO",1993,0,1752.72318662558,7.46892596408136,NA
"AGO",1994,0,1719.54294465223,7.44981380464171,NA
"AGO",1995,0,1912.51777523397,7.55617585989748,NA
"AGO",1996,0,2099.35045384819,7.64938326817469,NA
"AGO",1997,0,2176.87757986492,7.6856468262427,NA
"AGO",1998,0,2203.98692701325,7.69802323877302,NA
"AGO",1999,0,2179.06426975438,7.6866508295782,NA
"AGO",2000,0,2172.46326720494,7.68361694892063,NA
"AGO",2001,0,2189.17352158246,7.69127936417673,NA
"AGO",2002,0,2404.97792071531,7.78529600192197,90.5708209731095
"AGO",2003,0,2403.40415157038,7.78464140784959,90.6807161820483
"AGO",2004,0,2583.32411461288,7.85683226513597,90.3860384733605
"AGO",2005,0,2843.3966357968,7.95275461503877,95.3414592884703
"AGO",2006,0,3065.05576243895,8.02782104149648,84.6246041171541
"AGO",2007,0,3336.36332465208,8.11263666781575,97.2256306999958
"AGO",2008,0,3559.19522512236,8.1772897379317,108.680408741993
"AGO",2009,0,3494.80724466172,8.159033501405,102.263183257986
"AGO",2010,0,3540.79159568381,8.17210559572975,90.9940631355109
"ALB",1980,0,1823.48926046182,7.50850712071224,47.4940925041872
"ALB",1981,0,1890.02197487257,7.5443437349028,46.1004662837047
"ALB",1982,0,1905.06352710108,7.5522706345644,44.8105616083383
"ALB",1983,0,1885.6927997741,7.54205056539505,40.4106676033234
"ALB",1984,0,1823.32356317723,7.50841624832985,38.1156830212927
"ALB",1985,0,1818.02506971777,7.50550606436609,35.9348239721958
"ALB",1986,0,1883.74041369284,7.54101466097903,31.637304878056
"ALB",1987,0,1831.94703921937,7.51313463609316,32.159563916938
"ALB",1988,0,1772.17935790921,7.47996534382457,36.89787073527
"ALB",1989,0,1894.87827425617,7.54690988023234,40.066086463479
"ALB",1990,0,1682.8810874018,7.42826253655605,39.4369634031142
"ALB",1991,0,1218.96427317362,7.10575682074465,36.0705200632829
"ALB",1992,1,1138.23773998809,7.03723650322615,108.785472241159
"ALB",1993,1,1254.67888414888,7.1346349496217,80.518332770413
"ALB",1994,1,1367.22058963712,7.22053519139916,53.1025847356112
"ALB",1995,1,1558.96638565461,7.35177830734656,40.1386989518314
"ALB",1996,0,1683.76965547424,7.42879040128628,44.4117820054663
"ALB",1997,1,1495.90035328523,7.3104835475494,44.7293780649181
"ALB",1998,1,1630.43874131845,7.39660442403505,47.1306266993222
"ALB",1999,1,1841.80762760566,7.51850277466519,49.8954184095195
